stop_year,stop_month,stop_date,stop_hour,driver_gender,drivers_age_bucket,drivers_race,stop_duration,is_arrested,drugs_related_stop,violations_raw,search_score,stop_outcome
2010,11,17,22,M,5.0,Asian,0-15 Min,False,False,Speeding,1,Citation
2015,10,29,8,M,7.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2007,07,14,11,F,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2007,07,03,18,M,3.0,White,0-15 Min,False,False,Speeding,1,Citation
2010,01,19,14,M,10.0,Hispanic,0-15 Min,False,False,Special Detail/Directed Patrol,1,Citation
2011,05,16,12,M,9.0,White,0-15 Min,False,False,Special Detail/Directed Patrol,1,Citation
2008,05,08,9,M,6.0,Hispanic,16-30 Min,False,False,Special Detail/Directed Patrol,1,Citation
2006,11,15,6,M,9.0,White,0-15 Min,False,False,Speeding,1,Citation
2010,04,08,2,M,7.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2007,05,15,17,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,01,29,0,M,9.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,08,20,9,M,4.0,Hispanic,0-15 Min,False,False,Speeding,1,Citation
2007,03,29,17,M,7.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,07,18,13,F,5.0,Hispanic,0-15 Min,False,False,Speeding,1,Citation
2006,03,13,12,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,12,23,10,M,6.0,Black,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2012,05,06,9,M,8.0,Hispanic,30+ Min,False,False,Equipment/Inspection Violation,1,Citation
2009,09,18,13,F,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,12,05,6,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,03,17,12,M,8.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,04,05,20,M,13.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,12,26,16,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,04,16,9,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,03,15,14,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,03,05,17,F,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,05,15,18,M,4.0,Black,0-15 Min,False,False,Other Traffic Violation,1,Citation
2010,08,15,23,F,5.0,Black,0-15 Min,False,False,Speeding,1,Citation
2006,01,16,8,M,5.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2013,07,24,9,M,3.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,05,15,14,F,4.0,Black,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2013,12,29,8,M,6.0,White,30+ Min,False,False,Speeding,1,Citation
2015,06,13,15,M,7.0,Black,0-15 Min,False,False,Other Traffic Violation,1,Citation
2012,11,13,1,F,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2007,01,06,15,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,11,16,20,M,9.0,White,0-15 Min,False,False,Special Detail/Directed Patrol,1,Citation
2011,02,03,8,M,11.0,White,30+ Min,False,False,Other Traffic Violation,1,Citation
2007,01,03,0,M,3.0,White,0-15 Min,False,False,Speeding,1,Citation
2015,01,20,23,F,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,12,20,22,M,11.0,Asian,0-15 Min,False,False,Speeding,1,Citation
2008,06,24,7,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2007,08,04,11,M,4.0,White,16-30 Min,False,False,Speeding,1,Citation
2014,06,28,4,M,4.0,White,30+ Min,False,False,Call for Service,1,Citation
2007,06,21,8,M,3.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,05,28,13,M,9.0,White,16-30 Min,False,False,Other Traffic Violation,1,Citation
2007,01,07,0,M,7.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,12,13,14,M,3.0,Black,16-30 Min,False,False,Seatbelt Violation,12,Citation
2006,09,28,13,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,10,08,10,F,10.0,Hispanic,0-15 Min,False,False,Registration Violation,1,Citation
2013,11,14,14,F,9.0,Asian,0-15 Min,False,False,Speeding,1,Citation
2007,05,26,15,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2007,12,15,23,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2015,09,27,9,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,01,25,15,F,7.0,Hispanic,16-30 Min,False,False,Other Traffic Violation,1,Citation
2011,07,28,9,M,5.0,Black,0-15 Min,False,False,Other Traffic Violation,1,Citation
2015,09,21,16,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,03,10,16,M,3.0,White,0-15 Min,False,False,Speeding,1,Citation
2015,08,17,14,F,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,08,26,12,M,4.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2014,01,07,17,M,8.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2012,12,11,0,M,4.0,Black,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2013,04,29,17,M,8.0,White,0-15 Min,False,False,Speeding,1,Citation
2007,07,01,11,M,10.0,White,16-30 Min,False,False,Other Traffic Violation,1,Citation
2006,10,11,22,M,9.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,11,07,12,M,5.0,White,16-30 Min,False,False,Speeding,1,Citation
2011,08,26,8,M,7.0,White,16-30 Min,False,False,Other Traffic Violation,1,Citation
2006,06,12,0,M,3.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,04,30,16,F,8.0,Hispanic,0-15 Min,False,False,Speeding,1,Citation
2006,08,24,17,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,11,28,23,M,4.0,Black,0-15 Min,False,True,Equipment/Inspection Violation,8,Citation
2007,09,10,7,M,9.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2009,07,02,10,M,12.0,White,16-30 Min,False,False,Speeding,1,Citation
2009,07,19,13,M,11.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2014,11,11,8,M,5.0,Hispanic,0-15 Min,False,False,Speeding,1,Citation
2006,10,21,9,M,3.0,White,0-15 Min,False,False,Speeding,1,Citation
2007,06,20,13,M,3.0,White,16-30 Min,False,False,Speeding,1,Citation
2015,02,06,8,M,8.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,03,19,1,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,09,19,7,M,9.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,07,19,23,F,3.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2012,02,05,9,M,10.0,Asian,0-15 Min,False,False,Speeding,1,Citation
2015,12,19,0,F,5.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2012,12,30,14,F,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,01,07,10,M,11.0,Black,0-15 Min,False,False,Speeding,1,Citation
2012,04,03,16,M,5.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2013,06,24,12,M,8.0,Hispanic,0-15 Min,False,False,Speeding,1,Citation
2007,12,31,19,F,7.0,White,0-15 Min,False,False,Speeding,1,Citation
2007,04,04,6,F,11.0,White,0-15 Min,False,False,Speeding,1,Citation
2010,02,13,9,M,9.0,White,0-15 Min,False,False,Speeding,1,Citation
2011,12,10,6,M,4.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2012,11,20,11,F,6.0,Hispanic,0-15 Min,False,False,Other Traffic Violation,1,Citation
2015,01,13,11,M,5.0,White,16-30 Min,False,False,Speeding,1,Citation
2010,09,19,13,M,5.0,Hispanic,16-30 Min,False,False,Call for Service,1,Citation
2007,02,15,8,F,12.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,09,22,16,M,5.0,Asian,0-15 Min,False,False,Speeding,1,Citation
2007,08,05,15,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
